"poly_id","maptile","year","density","projection","filename","s3Url"
"P055","092k031_4_1_4",2019,8,"utm10","bc_092k031_4_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092k/2019/pointcloud/bc_092k031_4_1_4_xyes_8_utm10_2019.laz"
"P056","092l050_2_1_4",2019,8,"utm10","bc_092l050_2_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_1_4_xyes_8_utm10_2019.laz"
"P056","092l050_2_2_3",2019,8,"utm10","bc_092l050_2_2_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_2_3_xyes_8_utm10_2019.laz"
"P057","092l050_2_1_4",2019,8,"utm10","bc_092l050_2_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_1_4_xyes_8_utm10_2019.laz"
"P057","092l050_2_3_1",2019,8,"utm10","bc_092l050_2_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_1_xyes_8_utm10_2019.laz"
"P057","092l050_2_3_2",2019,8,"utm10","bc_092l050_2_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_2_xyes_8_utm10_2019.laz"
"P058","092l050_2_3_2",2019,8,"utm10","bc_092l050_2_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_2_xyes_8_utm10_2019.laz"
"P058","092l050_2_3_4",2019,8,"utm10","bc_092l050_2_3_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_4_xyes_8_utm10_2019.laz"
"P059","092l050_2_3_3",2019,8,"utm10","bc_092l050_2_3_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_3_xyes_8_utm10_2019.laz"
"P059","092l050_2_3_4",2019,8,"utm10","bc_092l050_2_3_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_4_xyes_8_utm10_2019.laz"
"P060","092l050_2_3_3",2019,8,"utm10","bc_092l050_2_3_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l050_2_3_3_xyes_8_utm10_2019.laz"
"P061","092l048_3_1_4",2019,8,"utm10","bc_092l048_3_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_1_4_xyes_8_utm10_2019.laz"
"P061","092l048_3_2_3",2019,8,"utm10","bc_092l048_3_2_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_2_3_xyes_8_utm10_2019.laz"
"P062","092l048_3_3_2",2019,8,"utm10","bc_092l048_3_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_3_2_xyes_8_utm10_2019.laz"
"P063","092f032_3_4_2",2019,8,"utm10","bc_092f032_3_4_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_3_4_2_xyes_8_utm10_2019.laz"
"P063","092f032_4_3_1",2019,8,"utm10","bc_092f032_4_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_3_1_xyes_8_utm10_2019.laz"
"P064","092l036_1_3_4",2019,8,"utm10","bc_092l036_1_3_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l036_1_3_4_xyes_8_utm10_2019.laz"
"P065","092l052_3_4_1",2023,8,"utm9","bc_092l052_3_4_1_xyes_8_utm9_20231030_20231031.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l052_3_4_1_xyes_8_utm9_20231030_20231031.laz"
"P065","092l052_3_2_1",2023,8,"utm9","bc_092l052_3_2_1_xyes_8_utm9_20231027_20231030.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l052_3_2_1_xyes_8_utm9_20231027_20231030.laz"
"P065","092l052_3_2_3",2023,8,"utm9","bc_092l052_3_2_3_xyes_8_utm9_20231027_20231031.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l052_3_2_3_xyes_8_utm9_20231027_20231031.laz"
"P066","092l052_3_3_1",2023,8,"utm9","bc_092l052_3_3_1_xyes_8_utm9_20231027_20231031.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2023/pointcloud/bc_092l052_3_3_1_xyes_8_utm9_20231027_20231031.laz"
