"parameter","value"
"collection","COPERNICUS/S2_SR_HARMONIZED"
"start","2019-06-01"
"end","2021-09-30"
"max_scene_cloud_pct","40"
"scl_kept","4 5 7"
"scenes_matched","1266"
"scenes_corrected","1205"
"topographic_correction","SCS+C"
"dem","COPERNICUS/DEM/GLO30"
"c_fit_scale_m","100"
"c_fit_pad_m","5000"
"c_fit_min_pixels","500"
"inward_buffer_m","20"
"summary_scale_m","20"
"polygons_in","84"
"polygons_dropped_by_buffer","0"
"polygons_out","84"
"built","2026-08-14"
