envelope,tiles,attrs_from_full_index,acquisition_years_sampled,density_pts_m2,point_classes
study area,18840,False,2023;2024;2025,8,"[1,2,7,12]"
Comox field window,999,True,2018;2019;2023;2024,8,"[1, 2, 7];[1, 7];[1,2,7,12];[7]"
